PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40064578,Advances of PET/CT in Target Delineation of Lung Cancer Before Radiation Therapy.,2025 Mar 9,N/A,N/A,N/A
40064574,Racial Diversity and Co-Mutational Analysis of Biologically Relevant Alterations in EGFR Mutant Lung Cancers.,2025 Feb 14,N/A,N/A,N/A
40064573,"The PESGA Trial: A Prospective, Open-Label, Single-Arm, Phase II Study to Evaluate First Line Therapy for Extensive-Stage Small Cell Lung Cancer (ES-SCLC) Patients, Treated by Induction Carboplatin/Etoposide/Pembrolizumab Followed by Maintenance of Pembrolizumab/ Sacituzumab Govitecan.",2025 Feb 13,N/A,N/A,N/A
40064572,Brief Report: Real-World Clinical Utility of Next-Generation Sequencing of Circulating Tumor DNA for Patients With Advanced Lung Squamous Cell Carcinoma (SQUIN).,2025 Feb 14,N/A,N/A,N/A
40064548,"Correction to ""Thieno[2,3-d]pyrimidine-2,4(1H,3H)-dione Derivative Inhibits d-Dopachrome Tautomerase Activity and Suppresses the Proliferation of Non-Small Cell Lung Cancer Cells"".",2025 Mar 10,N/A,N/A,N/A
40064543,Bone marrow mesenchymal stem cells improve bone cancer pain by inhibiting p38MAPK phosphorylation and microglia activation.,2025 Mar 11,N/A,N/A,N/A
40064451,A high affinity Sybody blocks Cofilin-1 binding to F-actin in vitro and in cancer cells.,2025 Mar 8,N/A,N/A,N/A
40064418,Percutaneous Needle Aspiration of an Air Embolus in the Descending Aorta After Lung Microwave Ablation.,2025 Mar 8,N/A,N/A,N/A
40064384,Deciphering a crosstalk between biological cues and multifunctional nanocarriers in lung cancer therapy.,2025 Mar 8,N/A,N/A,N/A
40064312,Facility exposure to wildfire disasters and hospital length of stay following lung cancer surgery.,2025 Mar 11,N/A,N/A,N/A
40064253,Blocking ATF4 attenuates pulmonary fibrosis by preventing lung fibroblast activation and macrophage M2 program.,2025 Mar 8,N/A,N/A,N/A
40064250,Consolidative Radiotherapy in Oligometastatic and Oligoprogressive NSCLC: A Systematic Review.,2025 Mar 8,N/A,N/A,N/A
40064226,β-elemene: A promising natural compound in lung cancer therapy.,2025 Mar 8,N/A,N/A,N/A
40064219,Farnesoid X receptor regulates CYP1A1 and CYP1B1 and estradiol metabolism in mouse and human cell lines.,2025 Mar 8,N/A,N/A,N/A
40064181,Peptide receptor radionuclide therapy with somatostatin analogs beyond gastroenteropancreatic neuroendocrine tumors.,2025 Mar 10,N/A,N/A,N/A
40064150,Age-Stratified Risk of Carboplatin-Induced Nausea and Vomiting in Lung Cancer Patients.,2025 Mar 10,N/A,N/A,N/A
40064065,"""Complex segmentectomies: Comparison with simple and effect of experience on postoperative outcomes"".",2025 Mar 5,N/A,N/A,N/A
40063931,Prehabilitation Program for Lung and Esophageal Cancers (Boosting Recovery and Activity Through Early Wellness): Protocol for a Nonrandomized Trial.,2025 Mar 10,N/A,N/A,N/A
40063826,Clinical Outcomes of Chemo-Immunotherapy for Extensive Stage Small Cell Lung Cancer: A Real-World Single Centre Study in Portugal.,2025 Mar 10,N/A,N/A,N/A
40063612,Efficacy of atezolizumab combined with platinum and etoposide in the treatment of extrapulmonary neuroendocrine carcinoma.,2025 Mar 10,N/A,N/A,N/A

